Num_Topics,Log_Perplexity_df_20_P_1_I_50,Topic_Coherence(u_mass)_df_20_P_1_I_50
10.0,-8.771586104770737,-0.14934343772181544
20.0,-9.113856738287216,-0.15679621935647675
30.0,-9.433078248163751,-0.1350975800628965
40.0,-9.762090704679348,-0.1296464895438088
50.0,-10.14905062151256,-0.14599815309468717
60.0,-10.474204482981587,-0.11762396688923714
70.0,-10.86275365261079,-0.13834437213040524
80.0,-11.182311003112643,-0.14889955716666908
90.0,-11.51781600808111,-0.1633643382178074
100.0,-11.893705744056247,-0.13711194054348913
