Num_Topics,Log_Perplexity_df_60_P_20_I_50,Topic_Coherence(u_mass)_df_60_P_20_I_50,Topic_Coherence(c_uci)_df_60_P_20_I_50,Topic_Coherence(c_v)_df_60_P_20_I_50,Topic_Coherence(c_npmi)_df_60_P_20_I_50
10.0,-8.394899587369807,-0.45691653230073337,0.07548458876791328,0.3974837366794774,0.03798159194960541
20.0,-8.364234403089544,-1.0079985576990418,-0.10601314716688215,0.3994260588866336,0.042121243562777425
30.0,-8.338415729741149,-1.2067330123407298,-0.3110505065954699,0.37302682718769525,0.029498275984466457
40.0,-8.334252449778212,-1.8847005457640607,-0.6098371110200966,0.3662253852198606,0.014811267745227074
50.0,-8.33604033492615,-1.5834756789613313,-0.385895817146084,0.3853989919656206,0.02661200920770447
60.0,-8.329452428874243,-1.4449126196071562,-0.10118003841465852,0.40642090515303625,0.04431454818506857
70.0,-8.336277566907938,-2.1744784178258625,-0.7207834509023353,0.3965305087894347,0.017558616385014086
80.0,-8.337447953305144,-1.4370856304349897,-0.5191908154990121,0.41557312524957324,0.024743357579007984
90.0,-8.3443658352057,-1.777378911609453,-0.7166608301433204,0.3835209664622629,0.01253149712570507
100.0,-8.34090802913129,-1.6294853386469803,-0.4809237126720239,0.4172046904049329,0.0243857001686819
