,0,1,2,3,4,5,6,7,8,9
1000010249674395648,1.900323240988655e-07,0.0016069099307060243,5.508523486241757e-08,2.7120590857521164e-07,1.2236643669893967e-06,1.915194843604695e-06,3.7407637137221174e-06,2.7813650831376436e-07,2.2269293253884828e-08,4.4225048441148833e-07
1000282310388932608,1.5892672308837064e-06,0.00013208212330937386,0.0061199344694614416,2.268172465846874e-06,1.0235030640615151e-05,1.6017816960811615e-05,3.128670214209706e-05,2.3264756237040274e-06,0.0003732254030182958,3.6990346416132525e-06
1000290654755450880,1.3442079762171489e-06,8.158385753631593e-08,3.8971415960986633e-07,1.9185863493476063e-06,8.656383579364047e-06,1.3548726565204561e-05,2.6462966343387964e-05,1.967583011719398e-06,0.0031020883470773697,3.128728349111043e-06
1000304603840241665,0.02495405673980713,6.809395927120931e-07,0.0001148691400885582,3.6264473237679343e-07,1.636134766158648e-06,2.5611008823034355e-06,5.00163332617376e-06,3.7189959130046195e-07,0.00013131030136719348,5.91329353483161e-07
1000600081165438977,1.7213498722412625e-06,0.001423400454223156,4.990131401427789e-07,2.456754373270087e-06,1.1086000449722633e-05,1.734879333525896e-05,3.388574405107647e-05,2.519646477594506e-06,0.00035298524890095,4.006215385743417e-06
1000799170469486592,5.884411166334758e-07,0.00013773642713204028,1.705775275695487e-07,8.398070349358023e-07,3.7891823012614623e-06,5.930705447099172e-06,1.1583776358747856e-05,8.613304999016691e-07,0.0028369542211294178,1.3694335393665825e-06
1000995072127549440,2.0174619885401985e-07,4.5469823196475126e-05,0.0073744085001395746,2.8804791628968193e-07,1.2993009871870864e-06,2.0333406098844975e-06,3.971562021782574e-06,2.953077921893926e-07,3.4597321152131724e-05,1.6250333143018595e-06
1001111725066870785,5.151776098381573e-07,0.00047087018892461453,0.001994765974814776,0.01690972303446311,1.1135517557399305e-06,1.7427921344327376e-06,3.404035177092893e-06,2.531105677246257e-07,3.5536036026702063e-07,5.155788534948302e-06
1001196759950004225,0.004314731061458588,0.00024897695984691385,0.002338879927992821,3.196997931809165e-06,1.4425168046727777e-05,2.2576242918148638e-05,4.4097079080529514e-05,3.2791322155389935e-06,0.0011700150556862355,5.213983240537346e-06
1001225498490560514,3.87229203254855e-07,0.0016054306615614219,5.297766974231158e-08,2.608213636831635e-07,1.1768152181246507e-06,1.8418550488038778e-06,3.59746291099423e-06,2.67489521066535e-07,3.3468450164163185e-06,4.2531959903250317e-07
