Num_Topics,Log_Perplexity_df_40_P_1_I_50,Topic_Coherence(u_mass)_df_40_P_1_I_50
10.0,-8.800051721057804,-0.055549863926710595
20.0,-9.03335464108348,-0.06200650712353918
30.0,-9.289423856854539,-0.0978178237125452
40.0,-9.574249044330992,-0.10849115706752932
50.0,-9.872073250698579,-0.09653940770855182
60.0,-10.13332038261204,-0.08493233167130833
70.0,-10.346711238377816,-0.10221625908206967
80.0,-10.64017619888149,-0.08319194206620313
90.0,-10.920536038299712,-0.11070050815296276
100.0,-11.079513673491432,-0.07891510873545694
