Num_Topics,Log_Perplexity_df_80_P_20_I_50,Topic_Coherence(u_mass)_df_80_P_20_I_50,Topic_Coherence(c_uci)_df_80_P_20_I_50,Topic_Coherence(c_v)_df_80_P_20_I_50,Topic_Coherence(c_npmi)_df_80_P_20_I_50
10.0,-8.384505445331644,-0.8727641277835045,-0.40044327526764045,0.36415899142186264,0.012823348156395645
20.0,-8.337950557116256,-0.8969396797604539,-0.2781116802828082,0.3808245166136438,0.030834843734837046
30.0,-8.336697021174048,-1.183224198678732,-0.2771278754599604,0.3742807600341676,0.02573745476577375
40.0,-8.32727147808986,-0.9971164324484227,-0.1271958193303178,0.38007686300683563,0.03704904737731494
50.0,-8.322270126728936,-1.6805795109194894,-0.41781399883950243,0.39798367272503976,0.02816289140142056
60.0,-8.318250886851564,-1.485578732425311,-0.5445247025080681,0.3730639574590501,0.01808760387066783
70.0,-8.30485010932972,-1.4518762594992078,-0.06723298255428331,0.42178796775323263,0.042402840421230305
80.0,-8.312750763352776,-1.9165200226895451,-0.25984147108415445,0.42809094567039685,0.042278606432357944
90.0,-8.312190557384953,-1.6289387899592334,-0.36772983103467455,0.40319756815901764,0.02961810684358479
100.0,-8.314941663658306,-1.8383397843168374,-0.3626981139529976,0.4203115776368481,0.030732090674774674
