Num_Topics,Log_Perplexity_df_20_P_30_I_50,Topic_Coherence(u_mass)_df_20_P_30_I_50,Topic_Coherence(c_uci)_df_20_P_30_I_50,Topic_Coherence(c_v)_df_20_P_30_I_50
10.0,-8.382962035686162,-0.4296939648253895,0.004281870346833824,0.39967568557287286
20.0,-8.334856047296965,-0.9820022475755691,-0.9101525774154432,0.4075781185986049
30.0,-8.344574047382304,-1.0960111724239658,-0.2769928529924704,0.43380022462772355
40.0,-8.316213647223694,-0.6962958880644358,-0.19640251921640198,0.46113091836271203
50.0,-8.330189159756532,-1.118950178167586,-0.3871563539057115,0.4528980441911946
60.0,-8.334296262710431,-1.609032717141265,-0.9327986579654859,0.42997113961335937
70.0,-8.339800900065477,-1.1189893839783374,-0.5685951561856547,0.42332228625807977
80.0,-8.33165763570363,-1.7335338505282258,-1.162814569605388,0.4628293804606443
90.0,-8.337742279585104,-0.951148971566574,-0.8114052896156717,0.4180831337082004
100.0,-8.339491207034158,-0.9687663090012577,-0.7158153334649033,0.4021866339515742
