Num_Topics,Log_Perplexity_df_80_P_40_I_50,Topic_Coherence(u_mass)_df_80_P_40_I_50,Topic_Coherence(c_uci)_df_80_P_40_I_50,Topic_Coherence(c_v)_df_80_P_40_I_50
10.0,-8.39741071473662,-0.22176570947656676,0.12069090675703813,0.3619662948248455
20.0,-8.33070056282396,-1.0735215880544284,-0.4766465080919066,0.3763554016383047
30.0,-8.324421144173161,-1.38158054350154,-0.4823389578000758,0.3664814381756051
40.0,-8.298726630980783,-1.6466073180021907,-0.3077279080877465,0.4101685502338418
50.0,-8.306759343072772,-1.7833314677497214,-0.3007270004384667,0.4061680183947919
60.0,-8.296917875254689,-1.5886190751849862,-0.29272288044519584,0.39411198240546014
70.0,-8.30656955288878,-2.2497458179279115,-0.4082159471504469,0.39906983408165925
80.0,-8.289460314662355,-1.8884280706543906,-0.3828308702104289,0.4180117854125349
90.0,-8.30418910221762,-1.9880165704818347,-0.5811947493588118,0.40636813986826625
100.0,-8.30126731976651,-1.7260873802057461,-0.40504699118213805,0.4245985343770342
