Num_Topics,Log_Perplexity_df_60_P_20_I_50,Topic_Coherence(u_mass)_df_60_P_20_I_50,Topic_Coherence(c_uci)_df_60_P_20_I_50,Topic_Coherence(c_v)_df_60_P_20_I_50,Topic_Coherence(c_npmi)_df_60_P_20_I_50
10.0,-8.368045516398615,-0.4767188828580444,inf,,inf
20.0,-8.33605228867205,-0.6477898999191636,inf,,inf
30.0,-8.327647643000278,-1.36110914626857,inf,,inf
40.0,-8.331783803767825,-1.5290713833722847,inf,,inf
50.0,-8.335600127552421,-1.7320709898117799,inf,,inf
60.0,-8.310117461587636,-1.1618831020796554,inf,,inf
70.0,-8.313990715179068,-1.647302825835974,inf,,inf
80.0,-8.319841519860214,-1.5073561269728653,inf,,inf
90.0,-8.321024246304557,-1.979930593649879,inf,,inf
100.0,-8.318207174126753,-1.9427176179518244,inf,,inf
