Num_Topics,Log_Perplexity_df_60_P_1_I_50,Topic_Coherence(u_mass)_df_1_P_30_I_50,
10.0,-8.77202786198535,-0.06783141098827314
20.0,-8.963033362323277,-0.06628955575825003
30.0,-9.189386456409064,-0.07496262703692938
40.0,-9.45530277907488,-0.0785388040516434
50.0,-9.686241842765115,-0.07073187281696225
60.0,-9.873562956677114,-0.07432840894472065
70.0,-10.16392607051231,-0.08796504148878541
80.0,-10.371437577337417,-0.08067744903030176
90.0,-10.61316324150552,-0.07825163640878932
100.0,-10.794421837639302,-0.08189741968998936
