Num_Topics,Log_Perplexity_df_20_P_50_I_50,Topic_Coherence(u_mass)_df_20_P_50_I_50,Topic_Coherence(c_uci)_df_20_P_50_I_50,Topic_Coherence(c_v)_df_20_P_50_I_50
10.0,-8.349450809356371,-1.0213422932573342,inf,
20.0,-8.305439747078923,-1.246292042007612,inf,
30.0,-8.298414055443784,-1.3633039221289784,inf,
40.0,-8.278935981118336,-1.354219944217696,inf,
50.0,-8.28711977676884,-1.3465994032829933,inf,
60.0,-8.285969228038521,-1.0814155105710839,inf,
70.0,-8.295589460206536,-1.1681206716925974,inf,
80.0,-8.276125439042024,-1.2838705227301672,inf,
90.0,-8.290004751802018,-1.2170721259227824,inf,
100.0,-8.288434326902687,-1.1266951187109304,inf,
