Num_Topics,Log_Perplexity_df_60_P_50_I_50,Topic_Coherence(u_mass)_df_60_P_50_I_50,Topic_Coherence(c_uci)_df_60_P_50_I_50,Topic_Coherence(c_v)_df_60_P_50_I_50
10.0,-8.386635671073117,-1.221863709221953,-0.4504604940926667,0.3993664256302173
20.0,-8.347008156058497,-0.9495288536769948,-0.06792727716078965,0.42364443221602244
30.0,-8.3429344764777,-1.7546863595805138,-0.3174952363609631,0.4090538052030717
40.0,-8.321489524383146,-1.3965346514255343,-0.37348885137219423,0.42427112191652105
50.0,-8.333250525801205,-1.5759372717924653,-0.31155436041552637,0.40722899442727156
60.0,-8.311011769737233,-2.120342746173521,-0.18188740173400503,0.42889561820282257
70.0,-8.316215485075569,-2.168156164243889,-0.5962830827691278,0.4286993638302378
80.0,-8.313099426633947,-2.225215467291671,-0.7721054184821801,0.4399852887405694
90.0,-8.315414916648121,-1.8281479014782247,-0.1908716095995775,0.45636475812584065
100.0,-8.312813532074431,-2.3562269083426965,-0.7107573166203989,0.4079044275632447
