Num_Topics,Log_Perplexity_df_40_P_40_I_50,Topic_Coherence(u_mass)_df_40_P_40_I_50,Topic_Coherence(c_uci)_df_40_P_40_I_50,Topic_Coherence(c_v)_df_40_P_40_I_50
10.0,-8.36815164708584,-0.45542417567447374,-0.03378062914333953,0.3639985828092275
20.0,-8.312141880986694,-1.5101088194191103,-0.34914606735297204,0.4020186482265595
30.0,-8.304518771477403,-1.7959389632836351,-0.7632927033427171,0.3992879309295212
40.0,-8.30072098629268,-1.5524477327455326,-0.7933237951757525,0.39210666714680686
50.0,-8.281698900861933,-1.8580096911474255,-0.6506900192495333,0.4324700417242303
60.0,-8.298093833403147,-1.8155581123863758,-0.7212927702258446,0.3938205546385833
70.0,-8.279334819361411,-1.818505332163595,-0.6237076475754941,0.4295374658248846
80.0,-8.285064842758123,-1.4943272118191302,-0.41150151455022427,0.44786306505722573
90.0,-8.295725678673168,-2.1979207996549865,-0.97125674546607,0.4221354102572722
100.0,-8.285715123244104,-1.8038477394041523,-1.013896586961472,0.42878457665828174
