Num_Topics,Log_Perplexity_df_20_P_40_I_50,Topic_Coherence(u_mass)_df_20_P_40_I_50,Topic_Coherence(c_uci)_df_20_P_40_I_50,Topic_Coherence(c_v)_df_20_P_40_I_50
10.0,-8.369052019320101,-0.781898390573993,-0.034340721216265246,0.4239360538589085
20.0,-8.328342011347543,-0.8722019290719054,-0.3668744553948283,0.44985359212893733
30.0,-8.336369058836281,-0.8228591717931131,-0.30642275898964516,0.4215137770953933
40.0,-8.31332459244515,-1.4161203067251784,-0.648544438063678,0.42344682754449836
50.0,-8.327228920285371,-1.3898459865592028,-0.4056847695381187,0.42632615444792293
60.0,-8.31984593921451,-0.9219941053745904,-0.9081540589376486,0.43519869668952643
70.0,-8.326008111563354,-1.2880436464313585,-1.1644187841312836,0.42936110765047153
80.0,-8.336345755225766,-0.984726870212231,-0.63525264786813,0.42413257225471684
90.0,-8.324432959309188,-1.6401168201861152,-1.2630636745674662,0.4132371663979063
100.0,-8.3382531430788,-1.3140618702875555,-0.8801323598995329,0.4169515894980468
