Num_Topics,Log_Perplexity_df_60_P_40_I_50,Topic_Coherence(u_mass)_df_60_P_40_I_50,Topic_Coherence(c_uci)_df_60_P_40_I_50,Topic_Coherence(c_v)_df_60_P_40_I_50
10.0,-8.37778554025933,-0.669522984075497,0.007237416710440333,0.4153434405455664
20.0,-8.338645692477382,-0.9254145425364545,inf,
30.0,-8.342528302174866,-1.6464604315026172,inf,
40.0,-8.320786118138873,-1.7134307333294057,inf,
50.0,-8.325969093628366,-1.7091676306887476,inf,
60.0,-8.311528370239426,-1.2719038897629422,inf,
70.0,-8.321391218357206,-1.8874009704318846,inf,
80.0,-8.32283263253072,-2.0729015372273962,inf,
90.0,-8.323680011150728,-1.6934489438764548,inf,
100.0,-8.312304179908711,-2.445186300576967,inf,
