Num_Topics,Log_Perplexity_df_60_P_30_I_50,Topic_Coherence(u_mass)_df_60_P_30_I_50,Topic_Coherence(c_uci)_df_60_P_30_I_50,Topic_Coherence(c_v)_df_60_P_30_I_50
10.0,-8.396247537411663,-0.5230651916966168,inf,
20.0,-8.35664996941763,-0.8458936823078931,inf,
30.0,-8.34380723061392,-1.2509687354597288,inf,
40.0,-8.354139552567492,-1.3983174322472394,inf,
50.0,-8.335148668723422,-1.5767542069328035,inf,
60.0,-8.348587891688162,-1.392022792484761,inf,
70.0,-8.330573200200323,-1.7107449603590512,inf,
80.0,-8.33225426620618,-1.9611966144030621,inf,
90.0,-8.333775993613934,-1.6051266045974166,inf,
100.0,-8.325061885678934,-2.042249081784658,inf,
